name,nationality,birth_date,field,genre
Charles Marion Russell,American,1864/3/19,Painting||Sculpture,
William Newenham Montague Orpen,British||Irish,1878/11/27,Painting,Portrait
Kitagawa Utamaro,Japanese,1904/10/18,Painting||Printmaking,Illustration
Léon Bakst,Russian||Jewish||Belarusian,1866/5/10,Graphic Design||Painting,
Maxfield Parrish,American,1870/7/25,Illustration||Painting,Architecture
Théodore Chassériau,French||Dominican,1819/9/20,Drawing||Others||Painting,Allegorical||History||Portrait||Religious
Julius Mordecai Pincas,French||Bulgarian||Jewish,1885/3/31,Drawing||Painting,Nude||Portrait
John Frederick Kensett,American,1816/3/22,Painting||Printmaking,Landscape
Frederick Carl Frieseke,American,1874/4/7,Painting,
Philipp Otto Runge,German,1777/7/23,Drawing||Painting,Landscape
Abbott Handerson Thayer,American,1849/8/12,Education||Painting,Animal||Landscape||Portrait
Margaret Macdonald Mackintosh,British||Scottish,1864/11/5,Decorative||Graphic Design||Textile Art,
Utagawa Toyokuni,Japanese,1904/11/3,Printmaking,Cultural and Regional Themes||Erotic||Illustration||Other
Anders Leonard Zorn,Swedish,1860/2/18,Painting||Printmaking||Sculpture,Portrait
Maynard Dixon,American,1875/1/24,Illustration||Painting,History
Albert Bierstadt,American||German,1830/1/7,Painting,Landscape
Olga Vladimirovna Rozanova,Russian,1886/6/21,Drawing||Painting,Abstract
Boris Mikhaylovich Kustodiev,Russian,1878/5/7,Painting||Performance,Portrait
Clarice Cliff,British,1899/1/20,Ceramics,
Tarsila do Amaral,Brazilian,1886/9/1,Drawing||Painting,
"Joseph, Baron Ducreux",French,1735/6/26,Decorative||Drawing||Painting||Printmaking,Portrait
édouard De Bièfve,Belgian,1808/12/14,Painting||Sculpture,History||Portrait
Anna Ancher,Danish,1859/8/18,Painting,Architecture||Narrative
Zinaida Yevgenyevna Serebriakova,Russian||Ukrainian,1884/12/10,Painting,Environmental||Portrait
Elenore Plaisted Abbott,United States,1905/2/17,Illustration||Painting||Performance,Illustration||Landscape||Portrait
Fedor Grigoryevich Solntsev,United Kingdom,1904/12/5,Education||Painting,
Frederick Horsman Varley,United Kingdom,1881/1/2,Painting,Landscape||Portrait
Martin Johnson Heade,American,1819/8/11,Painting,Landscape||Portrait||Still Life
Francisco Oller,Puerto Rico,1833/6/17,Painting||Visual,Landscape||Portrait||Still Life
Asher Brown Durand,United States,1796/8/21,Painting||Printmaking,Landscape
John French Sloan,United States,1871/8/2,Painting||Printmaking,Landscape
Karl Schmidt-Rottluff,Germany,1884/12/1,Painting||Printmaking,
Ralph Hedley,British,1848/12/31,Illustration||Painting||Sculpture,Narrative
Juan Gris,Spanish,1887/3/23,Painting||Sculpture,Abstract
Jean Désiré Gustave Courbet,Gustave Courbet,1819/6/10,Painting,Landscape||Narrative||Nude||Still Life
Adolphe Joseph Thomas Monticelli,French,1824/10/14,Painting,Landscape||Portrait||Still Life
Alfred Concanen,British,1905/1/8,Printmaking,Portrait
Paul Nash,United Kingdom,1889/5/11,Graphic Design||Literature||Painting||Photography,Landscape||Surrealist
John Heartfield,German,1891/6/19,Performance||Photography||Visual,Illustration||Political
Marià Fortuny,Spanish,1838/6/11,Painting,Cultural and Regional Themes||History||War
Yasuo Kuniyoshi,Japanese-American,1893/9/1,Painting||Photography||Printmaking,Figurative||Still Life
Martín Rico y Ortega,Spanish,1833/12/11,Painting,Landscape
Charles-édouard Jeanneret,Swiss-French,1887/10/6,Architecture||Graphic Design||Literature||Painting,
Anne-Louis Girodet,French,1767/1/29,Painting,Erotic||Portrait
Alexander Porfyrovych Archipenko,Ukrainian,1887/5/30,Graphic Design||Sculpture,
Thomas Jones,Welsh,1742/9/26,Painting,Landscape
Paul Revere,American,1735/1/1,Printmaking||Professional,
Kuzma Sergeevich Petrov-Vodkin,Russian,1878/10/24,Literature||Painting,
Lawren Stewart Harris,Canadian,1885/10/23,Painting,Abstract||Landscape
Thomas Sully,American,1783/6/19,Painting,History||Landscape||Portrait
János Mattis-Teutsch,Hungarian,1884/8/13,Graphic Design||Painting||Sculpture,
Wilhelm Kotarbiński,Polish,1849/11/30,Painting,Fantasy||History
Martin Munkácsi,Hungarian,1896/5/18,Literature||Photography,Other||Portrait
Gino Severini,Italian,1883/4/7,Painting,
Sir Thomas Lawrence,British,1769/4/13,Painting,Portrait
Pavel Nikolayevich Filonov,Russian,1883/1/8,Literature||Painting||Theory,Avant Garde Experimental||Conceptual
Amédée Ozenfant,French,1986/4/15,Literature||Painting,
William Blake,British,1757/11/28,Literature||Painting||Printmaking,
Shinsui Itō,Japanese,1898/2/4,Painting||Printmaking,Illustration||Landscape
Carl Clemens Moritz Rungius,German-American,1869/8/18,Painting,Animal
Arkhip Ivanovich Kuindzhi,Russian,1842/1/27,Painting,Landscape
Dame Laura Knight,British,1877/8/4,Painting||Printmaking,Figurative||Other
Philip Wilson Steer,British,1860/12/28,Painting,Landscape||Portrait
Auguste Herbin,French,1882/4/29,Painting,Figurative
John Ruskin,British,1819/2/8,Literature||Painting||Social||Theory,Architecture||Environmental||Landscape
Cuno Amiet,Swiss,1868/3/28,Graphic Design||Illustration||Painting||Sculpture,Landscape||Portrait
Ivan Yakovlevich Bilibin,Russian,1876/8/16,Illustration||Performance,Cultural and Regional Themes||Fantasy
Honoré-Victorin Daumier,French,1808/2/26,Graphic Design||Painting||Printmaking||Sculpture,Political||Social Realism
Anna Katarina Boberg,Swedish,1864/12/3,Ceramics||Graphic Design||Literature||Painting||Textile Art,Landscape
Augusta Savage,American,1892/2/29,Sculpture,
Ernst Ludwig Kirchner,German,1880/5/6,Painting||Printmaking,
James Ward,British,1769/10/23,Painting||Printmaking,Animal||Landscape||Portrait
Jean-Jules-Antoine Lecomte du Nou?,French,1842/6/10,Painting||Sculpture,Architecture||Figurative||History||Religious
Maurits Cornelis Escher,Dutch,1898/6/17,Graphic Design,
John Leech,British,1817/8/29,Graphic Design||Illustration,Political||Social Realism
Andrei Petrovich Ryabushkin,Russian,186110/17,Painting,Narrative
Franti?ek Kupka,Czech,1871/9/23,Graphic Design||Painting,Abstract
Armandro Reverón,Venezuelan,1889/5/10,Painting||Sculpture,Figurative||Landscape
Allan Randall Freelon Sr.,American,1895/9/2,Painting,Portrait
Albrecht Samuel Anker,Swiss,1831/4/1,Illustration||Painting,Illustration||Portrait||Still Life
Eugène Fredrik Jansson,Swedish,1862/3/18,Painting,Landscape
Gaspard-Félix Tournachon,French,1820/4/6,Graphic Design||Literature||Others||Photography,Film||Portrait
Mohammad Ghaffari,Iranian,1905/1/20,Calligraphy||Painting,Landscape||Portrait
Percy Wyndham Lewis,British,1882/11/18,Literature||Painting||Theory,
Robert William Buss,British,1804/8/4,Illustration||Painting||Printmaking,History||Narrative||Portrait
Ivan Me?trovi?,Croatian,1883/8/15,Architecture||Literature||Sculpture,Portrait||Sculpture
George Inness,American,1825/5/1,Painting,Landscape
Edward Lear,British,1812/3/12,Drawing||Illustration||Literature||Music||Painting,Illustration||Landscape||Other
Vincenzo Camuccini,Italian,1771/2/22,Painting,History||Portrait||Religious
Joaquín Sorolla y Bastida,Spanish,1863/2/27,Painting,History||Landscape||Portrait||Social Realism
Thomas Cowperthwait Eakins,American,1844/7/25,Education||Painting||Photography||Sculpture,Film||Portrait
Fyodor Alexandrovich Vasilyev,Russian,1850/2/10,Painting,Landscape
Alexej Georgewitsch von Jawlensky,"Russian, German",1864/3/13,Painting,Abstract||Landscape||Portrait
Lyubov Sergeyevna Popova,Russian,1889/4/24,Graphic Design||Painting,Abstract
Jean-Honoré Fragonard,French,1732/4/5,Painting||Printmaking,Avant Garde Experimental||Erotic||Genre
Sir Samuel Luke Fildes,British,1843/10/3,Illustration||Painting,Social Realism
Sophie Henriette Gertrude Taeuber-Arp,"Swiss, French",1889/1/19,Architecture||Painting||Performance||Sculpture||Textile Art,Abstract||Conceptual
Raden Saleh Sjarif Boestaman,Indonesian,1904/12/15,Painting,Landscape||Portrait
Félix Edouard Vallotton,"Swiss, French",1865/12/28,Painting||Printmaking,Genre||Nude||Portrait
Léopold Frédéric Léopoldowitsch Survage,"French, Russian, Finnish",1829/7/31,Decorative||Painting||Performance||Textile Art,Abstract||Other
Anni Albers,"American, German, Jewish",1899/6/12,Printmaking||Textile Art,
Akseli Gallen-Kallela,Finnish,1865/4/26,Painting,History||Landscape
Séraphine Louis,French,1864/9/3,Painting,Nature and Botanical
Christen Schiellerup K?bke,Danish,1810/5/26,Painting,Landscape||Portrait
Wilhelm von Kaulbach,German,1805/10/15,Illustration||Others||Painting,Allegorical||Symbolic
Gustave Moreau,French,1826/4/6,Painting,Mythological||Religious
édouard Manet,French,1832/1/23,Painting,Contemporary||Other
Jacek Malczewski,Polish,1854/7/15,Painting,Symbolic
Jean-Louis Ernest Meissonier,French,1815/2/21,Painting||Sculpture,History||War
Frederick Sandys,British,1829/5/1,Drawing||Illustration||Painting,Mythological||Portrait
Thomas Pollock Anshutz,American,1851/10/5,Education||Painting,Portrait
Philip Alexius de László,"Jewish, Hungarian",1869/4/30,Painting,Portrait
Jan Alojzy Matejko,Polish,1838/6/24,Painting,History
Rufino del Carmen Arellanes Tamayo,Mexican,1899/8/26,Painting,Abstract
Aubrey Vincent Beardsley,British,1872/8/21,Illustration||Literature,Erotic||Fantasy||Other
Dorothea Lange,American,1895/5/26,Photography,Narrative
Willard Leroy Metcalf,American,1858/7/1,Illustration||Painting,Landscape||Portrait
Camille Claudel,French,1864/12/8,Sculpture,
Hiroshi Yoshida,Japanese,1876/9/16,Painting||Printmaking,Landscape
Itō Jakuchū,Japanese,1716/3/2,Painting,Animal||Cultural and Regional Themes
Stanis?aw Ignacy Witkiewicz,Polish,1885/2/24,Literature||Painting||Performance||Photography||Theory,Fantasy||Portrait
Arno Breker,German,1900/7/19,Architecture||Sculpture,
Constantin Daniel Rosenthal,"Jewish, Austrian, Romanian",1904/12/24,Painting||Sculpture,Portrait
Thomas Fearnley,,1802/12/27,Painting,Landscape
Ion Theodorescu-Sion,Romanian,1882/1/2,Drawing||Graphic Design||Painting,Cultural and Regional Themes||Religious
Jean Dominique Antony Metzinger,French,1883/6/24,Literature||Painting||Theory,
James Barry,Irish,1741/10/11,Painting,
Henri Marie Raymond de Toulouse-Lautrec-Monfa,French,1864/11/24,Drawing||Graphic Design||Illustration||Painting||Printmaking,
Emanuel Gottlieb Leutze,"German, American",1816/5/24,Painting,History
Charles Angrand,French,1854/4/19,Drawing||Painting,Narrative||Portrait
Anton A?be,Slovenian,1862/5/30,Painting,
Xavier Martínez,"American, Mexican",1869/2/7,Drawing||Painting||Printmaking,
Giacomo Quarenghi,"Italian, Russian",1744/10/20,Architecture||Painting,
Sophie Gengembre Anderson,"French, British",1904/12/27,Painting||Printmaking,Genre
David Roberts,British,1796/10/24,Painting,
Joseph Urbania,"Austrian, Slovenian",1877/2/16,Painting||Sculpture,History||Mythological||Narrative||Other||Religious
Sir David Wilkie,British,1785/11/18,Painting,Genre||History||Portrait
Paul Jacoulet,"French, Japanese",1905/3/10,Printmaking,Figurative||Portrait
Augustus Edwin Mulready,British,1844/2/23,Painting,Genre
Grace W. Pailthorpe,British,1883/7/29,Painting||Professional||Science,Surrealist
Oscar Agustín Alejandro Schulz Solari,Argentinean,1887/12/14,Literature||Painting||Sculpture,
Francis Hans Johnston,Canadian,1888/6/19,Painting,Landscape
Winston Leonard Spencer-Churchill,British,1874/11/30,Literature,
Gabriel Charles Dante Rossetti,British,1828/5/12,Illustration||Literature||Painting||Translation,Cultural and Regional Themes||Literature
"Théophile ""Théo"" van Rysselberghe",Belgian,1862/11/23,Painting,Portrait
Norman Percevel Rockwell,American,1894/2/3,Illustration||Literature||Painting,Cultural and Regional Themes||Narrative||Portrait
Leonetto Cappiello,Italian||French,1875/4/9,Graphic Design||Painting,
Henri Julien Félix Rousseau,French,1844/5/21,Painting,
Maximilien Luce,French,1858/3/13,Graphic Design||Illustration||Painting||Printmaking,Landscape
Robert Demachy,French,1859/7/7,Photography,
Victor Meirelles de Lima,Brazilian,1832/8/18,Painting,
George Catlin,American,1796/7/26,Painting||Social,Portrait
Albert Gleizes,French,1881/12/8,Painting,Landscape
Jan Hendrik Weissenbruch,Dutch,1824/6/19,Painting||Visual,Landscape
Felice Casorati,Italian,1883/12/4,Painting||Printmaking||Sculpture,Figurative||Portrait||Still Life
Aaron Douglas,American,1899/5/26,Education||Illustration||Painting,
James Edward Hervey MacDonald,British||Canadian,1873/5/12,Environment||Painting,Landscape
John Martin,British,1789/7/19,Illustration||Painting||Printmaking,Landscape||Religious
George Morland,British,1763/6/23,Painting,Animal||Narrative
Alexis Gritchenko,Ukrainian,1883/4/2,Painting||Theory,
Alma Woodsey Thomas,American,1891/9/20,Education||Painting,Abstract
Richard Dadd,British,1817/8/1,Painting,Cultural and Regional Themes||Fantasy||Genre
Lajos Kassák,Hungarian,1887/3/21,Film||Literature||Painting,Avant Garde Experimental
Paul Victor Jules Signac,French,1863/11/11,Painting,Landscape
Howard Pyle,American,1853/3/5,Illustration||Social,Fantasy||History
Arshak Abrahami Fetvadjian,Armenian,1866/10/6,Graphic Design||Painting,Architecture||Portrait
Theodore Clement Steele,American,1847/9/11,Painting,Landscape
Vilhelm Hammersh?i,Danes,1864/5/15,Painting,Architecture||Landscape||Portrait
Charles Courtney Curran,American,1905/2/3,Painting,Landscape||Portrait
Giovanni Fattori,Italian,1825/9/6,Painting||Printmaking,Environmental||History||Landscape||War
Toyohara Chikanobu,Japanese,1905/1/11,Painting||Printmaking,Cultural and Regional Themes||Illustration
"William ""Bill"" Traylor",American,1854/4/1,Others,Cultural and Regional Themes||Other
émile Friant,French,1863/4/16,Painting,Landscape||Still Life
Shibata Zeshin,Japanese,1807/3/15,Decorative||Painting,
Cyril Edward Power,British,1872/12/17,Architecture||Painting,
Nicholas Roerich,Russian,1874/10/9,Literature||Painting||Science,Illustration
Sulpice Guillaume Chevalier,French,1804/1/13,Graphic Design||Illustration,
Charles Edward Conder,Australian,1868/10/24,Graphic Design||Painting||Printmaking,
William Henry Hunt,British,1790/3/28,Painting||Visual,Genre||Narrative||Still Life
Vardges Sureniants,Armenian,1860/2/27,Illustration||Painting||Performance||Sculpture||Theory||Translation,Fantasy||History
Gustav Klimt,Austrian,1862/7/14,Painting,Allegorical||Landscape||Portrait
Alfons Maria Mucha,Czech,1860/7/24,Decorative||Painting,
Caspar David Friedrich,German,1774/9/5,Painting,Landscape
Pierre Bonnard,French,1867/10/3,Illustration||Painting||Printmaking,Landscape||Narrative||Still Life
Alfred Stieglitz,American,1864/1/1,Photography||Professional,
Jacques Joseph Tissot,French,1836/10/15,Illustration||Painting,Genre||Other||Religious
Oda Krohg,Norwegian,1860/6/11,Painting,Landscape||Portrait
Alfred William Parsons,British,1847/12/2,Graphic Design||Illustration||Painting,Illustration||Landscape
Azim Aslan oglu Azimzade,Azerbaijani,1880/5/7,Graphic Design,Illustration||Narrative
Sir Jacob Epstein,American||British||Jewish,1880/11/10,Drawing||Painting||Sculpture,
Kurt Hermann Eduard Karl Julius Schwitters,German,1887/6/20,Graphic Design||Installation||Literature||Music||Painting||Sculpture,Abstract||Other
Henry Spencer Moore,British,1898/7/30,Drawing||Graphic Design||Sculpture,Abstract
Hans Hofmann,American||German,1880/3/21,Painting,Abstract
Antonietta Rapha?l,Italian||Lithuanian||Jewish,1905/3/9,Painting||Sculpture,
John James Audubon,French||American,1785/4/26,Others||Painting||Science,
Léon Joseph Florentin Bonnat,French,1833/6/20,Painting,Genre||Portrait||Religious
Lorser Feitelson,American,1905/3/12,Painting,Abstract||Figurative
Saturnino Herrán Guinchard,Mexican,1887/7/9,Drawing||Painting,Allegorical||Architecture||Portrait
James Merritt Ives,American,,Printmaking,
Maurice Denis,French,1870/11/25,Decorative||Literature||Painting,Other||Religious||Symbolic
Hovsep Pushman,Armenian,1877/5/9,Painting,Portrait||Still Life
Léon Cogniet,French,1794/8/29,Painting,History||Portrait
Utagawa Kunisada,Japanese,1904/11/20,Painting||Printmaking,Landscape||Portrait
Umberto Boccioni,Italian,1882/10/19,Painting||Sculpture,
Maurice Brazil Prendergast,American,1858/10/10,Painting||Printmaking,
Christoffer Wilhelm Eckersberg,,1783/1/2,Painting,History||Landscape||Portrait
Oswald Achenbach,German,1786/4/16,Painting,Landscape
Oswald Achenbach,German,1827/2/2,Painting,Landscape
Louis Valtat,French,1869/8/8,Painting||Printmaking,Environmental||Landscape
Anne Vallayer-Coster,French,1744/12/21,Painting,Genre||Portrait||Still Life
Arthur Eric Rowton Gill,British,1882/2/22,Graphic Design||Printmaking||Sculpture,
Victor Marie Hugo,French,1802/2/26,Film||Literature,
Abanindranath Tagore,Indian,1871/8/7,Literature||Painting,Narrative
Fernand Edmond Jean Marie Khnopff,Belgian,1858/9/12,Painting,
Jessie Willcox Smith,American,1863/9/6,Illustration,Illustration
Max Weber,"American, Jewish",1881/4/18,Painting,
Owen Jones,British,1809/2/15,Architecture||Graphic Design||Theory,
Pierre Dubreuil,French,1905/2/14,Photography,
Suzanne Valadon,French,1865/9/23,Painting,Landscape||Portrait||Still Life
Ivan Konstantinovich Aivazovsky,"Russian, Armenian",1817/7/29,Painting,Environmental||Landscape||Portrait||War
Osman Hamdi Bey,Turkish,1905/1/15,Painting||Science||Sculpture,
Medardo Rosso,Italian,1858/6/21,Photography||Sculpture,Other
Charles Rennie Mackintosh,British,1868/6/7,Architecture||Graphic Design||Visual,
Georges Braque,French,1882/5/13,Collage||Drawing||Painting||Printmaking||Sculpture,Abstract
"Elizabeth Southerden Thompson, Lady Butler",British,1846/11/3,Painting,History||War
Max Ernst,German,1891/4/2,Graphic Design||Literature||Painting||Sculpture,
Mildred Anne Butler,Irish,1858/1/11,Painting,Animal||Genre||Landscape
Charles Henry Buckius Demuth,American,1883/11/8,Painting,Abstract||Nature and Botanical
Raja Ravi Varma,Indian,1848/4/29,Others||Painting,
Mario Sironi,Italian,1885/5/12,Graphic Design||Illustration||Painting||Sculpture,Portrait
William Morris,British,1834/3/24,Literature||Social||Textile Art||Translation,Fantasy
Natalia Sergeevna Goncharova,Russian,1881/6/16,Graphic Design||Illustration||Literature||Painting||Sculpture,Avant Garde Experimental||Cultural and Regional Themes||Other
Charles Méryon,French,1821/11/23,Printmaking,Landscape
Sir John Everett Millais,British,1829/6/8,Illustration||Painting,
Benjamin Lauder Nicholson,British,1894/4/10,Painting,Abstract||Landscape||Still Life
Winslow Homer,American,1836/2/24,Painting||Printmaking,Environmental||Landscape
Oscar-Claude Monet,French,1840/11/14,Painting,Landscape
Gerda Marie Fredrikke Wegener,Danish,1886/3/15,Illustration||Painting,Erotic||Other||Portrait
"Pavle ""Paja"" Jovanovi?",Serbian,1859/6/16,Painting,Cultural and Regional Themes||Genre||History||Portrait
Taras Hryhorovych Shevchenko,Ukrainian,1814/3/9,Illustration||Literature||Painting,
Lucio Fontana,"Italian, Argentinean",1899/2/19,Painting||Sculpture,Abstract
Maurice de Vlaminck,French,1876/4/4,Painting,
Joseph Stella,"Italian, American",1877/6/13,Painting,Other
Nade?da Petrovi?,Serbian,1873/10/11,Painting||Photography,
Max Beckmann,German,1884/2/12,Drawing||Literature||Painting||Printmaking||Sculpture,Portrait
Eugène Burnand,Swiss,1850/8/30,Illustration||Painting,Animal||Environmental||Portrait
Sir Arthur Ernest Streeton,Australian,1867/4/8,Painting,Landscape
Alexander Young Jackson,Canadian,1882/10/3,Painting,Landscape
Pedro Figari,Uruguayan,1861/6/29,Painting,Figurative
Marie Bashkirtseff,"Ukrainian, Russian, French",1858/11/24,Painting||Sculpture,Portrait
Sir Henry Raeburn,British,1756/3/4,Painting,Portrait
Eugène Atget,French,1857/2/12,Photography,Narrative
Gabriele Münter,German,1877/2/19,Painting||Printmaking||Sculpture,Landscape
Ben Shahn,"American, Lithuanian, Jewish",1898/9/12,Graphic Design||Painting||Photography,Social Realism
John Singleton Copley,American,1738/7/3,Painting,Portrait
Claude Cahun,"French, Jewish",1894/10/25,Literature||Performance||Photography||Sculpture,Portrait
Anne Wardrope (Nott) Brigman,American,1869/12/3,Photography,
