id,description.style,description.theme,description.object,description.color,description.tone,description.composition,description.image_genre
Wikiart_592,Light and Space,,Light Tubes,Red And White,Bright,Linear Arrangement,Abstract
Wikiart_593,Contemporary Realism,,Woman In Formal Attire,Earth Tones,Neutral,Vertical,Portrait
Wikiart_594,Post-Minimalism,,Burlap Sacks,Brown,Neutral,Linear Arrangement,Still Life
Wikiart_595,Cartographic Art,,"Map, People, Animals",Multicolored,Bright,"Collage-Like, Scattered Elements",Map Art
Wikiart_596,Minimalism,,Fluid Shape,Red,Neutral,Asymmetrical,Abstract
Wikiart_597,Lyrical Abstraction,,,Pink,Neutral,Non-Representational,
Wikiart_598,Contemporary Realism,,"People, Door, Window, House","Blue, Red",Dark,Triptych,Narrative
Wikiart_599,,,Shepherd And Sheep,Sepia,Dark,Central Focal Point,Genre Art
Wikiart_600,concretism,,"button, needles, thread",black and white,neutral,geometric arrangement,still life
Wikiart_601,Post-Impressionism,,"Cross, River",Blue,Bright,Central Focus,Landscape
Wikiart_602,Postcolonial art,,Figure Holding A Flag And A Lion,"Warm Tones (Reds, Yellows)",Bright,Central Composition,Portrait
Wikiart_603,Social Realism,,"People, Surreal Elements",Pink,Neutral,Asymmetrical,Figurative
Wikiart_604,Hard Edge Painting,,Geometric Shapes,"Red, Green, Blue",Bright,Geometric,
Wikiart_605,Abstract Expressionism,,Curved Forms,Brown,Dark,Swirling Lines,Abstract
Wikiart_606,Minimalism,,Rectangles,Various (Multicolored),Bright,Geometric Arrangement,
Wikiart_607,Art Informel,,Abstract Forms,Pink,Neutral,Dynamic,
Wikiart_608,Post-Minimalism,,Bag-Like Form With Protruding Elements,Mixed/Predominantly Pale,Neutral,Asymmetrical,Still Life
Wikiart_609,Color Field Painting,,Circle,Orange,Bright,Centralized,
Wikiart_610,Op Art,,Circles,Blue,Neutral,Grid-Like,Geometric
Wikiart_611,Lyrical Abstraction,,Color Bands,"Blue, Red, Yellow",Bright,Horizontal Bands,
Wikiart_612,Conceptual Art,,Pillars,White,Neutral,Symmetrical,Installation
Wikiart_613,Conceptual Art,,Neon Sign,Red,Bright,Minimalist,Text-Based Art
Wikiart_614,Naïve Art (Primitivism),,"Animal, Plants","Black, Brown, Red",Neutral,Symmetrical,Animal
Wikiart_615,Feminist Art,,Person With A Cup,Black And White,Neutral,Central Focus,Portrait
Wikiart_616,Abstract Expressionism,,Geometric Shapes,Red,Dark,Dynamic,
Wikiart_617,Abstract Art,,"Curved Lines, Abstract Forms","Earth Tones, Green, Yellow",Neutral,"Dynamic, Flowing",Abstract
Wikiart_618,Minimalism,,Geometric Shapes,Beige,Neutral,Symmetrical,Abstract
Wikiart_619,Realism,,"Trees, River",Green,Dark,Balanced,Landscape
Wikiart_620,Minimalism,,Geometric Structures,Black And White,Neutral,Asymmetrical Arrangement,Sculpture
Wikiart_621,Expressionism,,"People, Dress",Green,Neutral,Balanced,Genre Scene
Wikiart_622,Expressionism,,Reclining Figure,Earth Tones,Dark,Asymmetrical,Genre Painting
Wikiart_623,Pop Art,,Gun,Yellow,Bright,Dynamic,Comic
Wikiart_624,Neo-Dada,,"Glass Bottle, Ceramic Base",Neutral,Neutral,Central Focus,Still Life
Wikiart_625,Abstract Expressionism,,,"Blue, Red, Green",Dark,Non-Linear,
Wikiart_626,Color Field Painting,,Abstract Shapes,Blue And Yellow,Neutral,Repetitive Pattern,Abstract
Wikiart_627,,,"Ceiling, Light Bulb",Red,Dark,Asymmetrical,Still Life
Wikiart_628,New European Painting,,Geometric Shapes,Grey,Neutral,Minimalist,Still Life
Wikiart_629,Surrealism,,"Silhouette With Scenery, Chair, Mug",Black,Dark,Juxtaposition,Figurative
Wikiart_630,Minimalism,,Neon Lights,"Yellow, Red, Blue",Bright,Geometric Arrangement,Installation
Wikiart_631,Contemporary,,Calligraphic Text,Multicolored,Bright,Layered Text,Calligraphy
Wikiart_632,Conceptual Art,,Cabinet Filled With Spheres,White,Neutral,Symmetrical,Still Life
Wikiart_633,Lyrical Abstraction,,Musicians,Red,Bright,Dynamic,Portrait
Wikiart_634,New European Painting,,"Heart, Chain",Red,Bright,Layered,Still Life
Wikiart_635,Contemporary,,Swirls And Geometric Shapes,Blue,Bright,Dynamic,Abstract
Wikiart_636,Abstract Expressionism,,,Earth Tones,Neutral,Dynamic Flow,
Wikiart_637,Contemporary,,Person On A Sofa,Earth Tones,Neutral,Triptych,Portrait
Wikiart_638,Pop Art,,Children Playing With A Jump Rope,Multicolored,Bright,Balanced,Genre Scene
Wikiart_639,Zen,,Calligraphic Characters,Black,Neutral,Vertical Emphasis,Abstract
Wikiart_640,Pop Art,,"Road, Buildings, Trees","White, Blue, Green, Black",Neutral,"Geometric, Minimalistic",Landscape
Wikiart_641,Indian Space painting,,Shapes,"Blue, Green, Orange",Neutral,Geometric Arrangement,Abstract
Wikiart_642,Conceptual Art,,Person In A Canoe,Black And White,Neutral,Central Focus,Portrait
Wikiart_643,Abstract Expressionism,,Rectangles,"Orange, Blue, Purple",Neutral,Minimalist,Still Life
Wikiart_644,Outsider art,Political satire,"Political Figures, Text, Symbols",Red,Bright,Collage,Political Satire
Wikiart_645,Magic Realism,,People In Mirrors,Muted Browns And Grays,Neutral,"Symmetrical, Repetitive",Portrait
Wikiart_646,Neo-Dada,,Abstract Shapes,Rainbow Spectrum,Bright,Dynamic And Flowing,Abstract
Wikiart_647,Surrealism,,"Abstract Figures, Landscape, Moon",Green,Dark,Vertical Emphasis With Central Focus,Landscape
Wikiart_648,Minimalism,,Geometric Shapes,Neutral With Red And Green Accents,Light,Asymmetrical And Minimal,Abstract
Wikiart_649,Street art,,Car,Multicolored,Bright,Central Focus,Still Life
Wikiart_650,Post-Impressionism,,People Playing Cards,Earth Tones,Neutral,Balanced Grouping,Genre Painting
Wikiart_651,Precisionism,,Abstract Human-Like Figures,Predominantly White And Purple,Neutral,Vertical Arrangement With Central Focus,Figurative
Wikiart_652,Neoclassicism,Military,"Military Figure, Uniform",Dark Tones With Earthy Hues,Neutral,Full-Length Portrait With Landscape Background,Portrait
Wikiart_653,impressionism,,person with a hat and pipe,sepia tones,neutral,centralized,portrait
Wikiart_654,Surrealism,,"Box, Butterflies, Flowers, Red Liquid",Dark,Dark,Central Composition With A Focus On Detailed Objects,Still Life
Wikiart_655,Romanticism,,"Bridge, Buildings, River, People",Sepia,Neutral,"Balanced, With A Central Focus On The Bridge And Buildings",Landscape
Wikiart_656,Impressionism,,"Nude Woman, Fruit Bowl, Couch","Warm Tones (Reds, Oranges)",Bright,"Asymmetrical, With The Subject Off-Center",Portrait
Wikiart_657,Nihonga,Religious,"Buddha, Followers",Earth Tones,Neutral,Centralized,Religious
Wikiart_658,Romanticism,,Person Wearing A Red Shawl,Red,Warm,Central Figure,Portrait
Wikiart_659,Art Nouveau (Modern),,Rabbits,Green,Bright,Narrative Scene,Animal
Wikiart_660,Neoclassicism,,Human Figure,Earth Tones,Neutral,Centered,Portrait
Wikiart_661,impressionism,person walking,person walking,earth tones,soft,dynamic,genre painting
Wikiart_662,Post-Impressionism,,"Person Seated, Floral Background",Blue,Bright,Centralized Composition,Portrait
Wikiart_663,Art Nouveau (Modern),,Floral Form/Vase,Green,Neutral,Symmetrical,Sculpture
Wikiart_664,Japonism,,"People, Interior Setting",Green,Muted,"Balanced, With Figures Distributed Across The Canvas",Genre Painting
Wikiart_665,Art Nouveau (Modern),,"Tree, Building",Earth Tones,Neutral,Balanced With Strong Vertical And Horizontal Lines,Landscape
Wikiart_666,Constructivism,,Human Figures,Pink,Neutral,Dynamic,Figurative
Wikiart_667,Romanticism,,"Figures, Drapery",Earth Tones,Dramatic,Dynamic With Central Focus,Historical
Wikiart_668,realism,,woman,earth tones,neutral,centralized,portrait
Wikiart_669,,"Soldiers, Barren Trees","Soldiers, Barren Trees",Sepia,Dark,"Horizontal, Balanced",Landscape
Wikiart_670,Divisionism,,"Nude Model, Artists",Warm Tones,Bright,Centralized With Background Activity,Figure Painting
Wikiart_671,Naïve Art (Primitivism),,"People, Table, Food, Trees",Earth Tones,Bright,Symmetrical,Genre Painting
Wikiart_672,Expressionism,,Stylized Human Heads,Brown,Neutral,Fragmented,Portrait
Wikiart_673,Divisionism,Landscape,"Tree, Landscape","Earth Tones (Brown, Green)",Neutral,Balanced,Landscape
Wikiart_674,,Music||object,,,,,
Wikiart_675,Constructivism,,Squares And Rectangles,"Red, Black, Gray",Neutral,Geometric Arrangement,Abstract
Wikiart_676,Academicism,,"Person, Map, Cannon",Dark,Neutral,Central Composition,Portrait
Wikiart_677,,Person,Person,Black And White,Dark,Centralized,Portrait
Wikiart_678,Ukiyo-e,,Birds,Beige,Neutral,Line Drawing,Wildlife
Wikiart_679,symbolism,,figure,blue and yellow,dark,vertical,portrait
Wikiart_680,Post-Impressionism,,"People, Trees, Buildings",Earth Tones,Warm,"Loose, Dynamic",Street Scene
Wikiart_681,Fauvism,,"Trees, People, Path","Red, Yellow, Green",Bright,"Dynamic, With Strong Lines And Vibrant Colors",Landscape
Wikiart_682,Art Nouveau (Modern),,"Woman, Moon, Magical Elements",Soft Pastels,Ethereal,Vertical Arrangement With A Central Focus,Fantasy
Wikiart_683,Orientalism,,"Camel, People","Earth Tones, Blue",Neutral,Balanced With A Central Focus,Landscape
Wikiart_684,symbolism,,,,,,
Wikiart_685,Academicism,,People In Robes,Earth Tones,Neutral,Linear,Historical
Wikiart_686,Romanticism,,"Woman, Flowers, Water Lilies",Green,Neutral,Central Composition,Portrait
Wikiart_687,Abstract Art,,"Trees, Foliage",Dark Blue,Dark,Centralized,Still Life
Wikiart_688,Rococo,,"Military Officer, Cannon",Earth Tones,Neutral,Central Figure With Background Elements,Portrait
Wikiart_689,Symbolism,,"Ruins, Ethereal Figures",Earth Tones,Dark,Layered Depth,Fantasy
Wikiart_690,Expressionism,,"Person, Chair, Window",Earth Tones,Dark,Central Figure With Surrounding Elements,Interior Scene
Wikiart_691,Romanticism,,"People, Trees, House",Earth Tones,Warm,Balanced,Genre Painting
Wikiart_692,Romanticism,,"Fields, Trees, Sky",Dark And Earthy Tones,Contrasting (Dark Clouds And Illuminated Fields),Balanced With Horizontal Emphasis,Landscape
Wikiart_693,Expressionism,,Ballerina,Brown,Warm,Central Focus,Portrait
Wikiart_694,Expressionism,,"Woman, Basket, Vase",Earth Tones,Neutral,Balanced,Portrait
Wikiart_695,realism,,"sheep, pasture",green,neutral,balanced,landscape
Wikiart_696,Expressionism,,Seated Man,Earth Tones,Neutral,Central Composition,Portrait
Wikiart_697,Cubism,,Trees,Green,Neutral,Geometric,Landscape
Wikiart_698,Romanticism,,"Trees, Path, Distant Castle, People",Earth Tones,Neutral,"Balanced, With A Focus On Foreground And Background Contrast",Landscape
Wikiart_699,Ukiyo-e,,"Household Items, Fabric",Red,Neutral,Asymmetrical,Still Life
Wikiart_700,Romanticism,,"Flowers, Fruits, Bird",Warm Tones,Bright,Balanced And Detailed,Still Life
Wikiart_701,Neoclassicism,,Human Figure,Stone/Beige,Neutral,Three-Dimensional,Sculpture
Wikiart_702,Neo-Romanticism,,"People, Kitchen Utensils","Earth Tones, Muted Colors",Neutral,Diagonal Composition,Genre Painting
Wikiart_703,impressionism,people in a room with a hookah,people,warm earth tones,neutral,balanced with a focus on the foreground figures,genre scene
Wikiart_704,realism,none,people in a domestic setting,earth tones,dark,grouped figures with a central focus,genre painting
Wikiart_705,realism,,person with a telescope,earth tones,neutral,centered figure,portrait
Wikiart_706,Realism,,Seated Person,Brown,Neutral,Formal,Portrait
Wikiart_707,Nanga (Bunjinga),,"Two Scholars, Landscape",Earth Tones,Neutral,Vertical And Balanced',Portrait
Wikiart_708,impressionism,,two women in dresses,predominantly white and pastel colors,neutral,"balanced, with two figures centrally placed",portrait
Wikiart_709,Naïve Art (Primitivism),,"Flowers, People",Bright Primary Colors,Bright,Symmetrical,Still Life
Wikiart_710,Cubism,,Two Dancers,Earth Tones,Neutral,Dynamic,Figurative
Wikiart_711,Impressionism,,People Playing Croquet,Earth Tones,Bright,Balanced,Genre Scene
Wikiart_712,New Realism,,Two Children,Red,Dark,Centralized,Portrait
Wikiart_713,Romanticism,,Seated Woman In A Dress,Soft Beige And Earth Tones,Neutral,Balanced And Centered,Portrait
Wikiart_714,impressionism,,"boat, person",earth tones,neutral,balanced,landscape
Wikiart_715,Neo-Romanticism,,Woman Picking Flowers,Green,Neutral,"Horizontal, Balanced",Landscape
Wikiart_716,Romanticism,,"People, Table, Flowers",Earth Tones,Warm,Balanced,Genre Painting
Wikiart_717,impressionism,landscape,"buildings, river, snow",blue,bright,"horizontal layers, balanced",landscape
Wikiart_718,Metaphysical art,,"Buildings, Statue, Columns",Yellow,Dark,Geometric Perspective,Architectural
Wikiart_719,Art Nouveau (Modern),,"Person, Horse, Beach",Golden,Dark,Horizontally Balanced,Landscape
Wikiart_720,realism,landscape,"mountain, vegetation",green,bright,balanced,landscape
Wikiart_721,Symbolism,,"Circles, Spirals",Soft Pastels,Neutral,Symmetrical,Abstract
Wikiart_722,,,Seated Person,Neutral Tones With Accents Of Red And Black,Neutral,Frontal Pose With Emphasis On Posture And Attire,Portrait
Wikiart_723,Impressionism,,"People, Flowers, Trees",Bright Colors,Bright,"Balanced, With A Central Focus",Genre Scene
Wikiart_724,Tonalism,,"Trees, Forest",Green,Neutral,"Vertical, Balanced",Landscape
Wikiart_725,Orientalism,,"Woman, Flowers",Dark,Dark,"Centralized Figure, Vertical Orientation",Portrait
Wikiart_726,Neoclassicism,,Woman With A Vase,Earth Tones,Neutral,Balanced,Portrait
Wikiart_727,realism,,"bathtub, person, book",muted earth tones,neutral,"horizontal, centered",portrait
Wikiart_728,Abstract Art,,Geometric Shapes,Earth Tones,Neutral,Asymmetrical,Abstract
Wikiart_729,Romanticism,,Man With A Pipe And A Drink,Brown,Dark,Centered,Portrait
Wikiart_730,impressionism,,"two people, deck chairs, knitting, wine bottle, basket",light pastels,bright,"balanced, informal",genre painting
Wikiart_731,impressionism,,"two women, fan, gloves","warm tones (browns, reds, and whites)",neutral to warm,diagonal composition with a focus on the interaction between the two women,portrait
Wikiart_732,Abstract Art,,"Flags, Geometric Shapes",Red,Bright,Collage-Like Arrangement,Still Life
Wikiart_733,Romanticism,,"Soldiers, Horses, Weapons",Black And White (Monochrome),Dark,"Dense, Chaotic, Dynamic",Historical
Wikiart_734,impressionism,landscape,"tree, hills",green,soft,vertical emphasis,landscape
Wikiart_735,Tonalism,,"Women, Musical Instrument (Harp)",Green,Dark,Linear Arrangement,Figurative
Wikiart_736,Sōsaku hanga,,"Village, Hills, Two Cows",Earth Tones,Neutral,Horizontal Layering,Landscape
Wikiart_737,Art Nouveau (Modern),,Fairy Godmother And Young Woman,Blue,Dark,Centralized Figures,Fairy Tale
Wikiart_738,Impressionism,,"Woman, Water, Gate",Earth Tones,Neutral,Balanced,Portrait
Wikiart_739,Shin-hanga,,"Huts, Trees, River, Boat","Earth Tones, Greens, Blues",Neutral,"Horizontal, Balanced",Landscape
Wikiart_740,Realism,,Bowl Of Fruit,Green,Neutral,Centered,Still Life
Wikiart_741,Expressionism,,"Plants, Abstract Forms","Earth Tones, Greens, Yellows",Dark,Dynamic,Landscape
Wikiart_742,Realism,,"Violin, Sheet Music, Flute",Brown,Neutral,Illusionistic Arrangement,Still Life
Wikiart_743,Romanticism,,Horses,Earth Tones,Neutral,"Dynamic, With A Central Focus On The Fighting Horses",Animal
Wikiart_744,Post-Impressionism,,Person With A Fishing Rod,Earth Tones,Neutral,Central Composition,Portrait
Wikiart_745,Ukiyo-e,,Two People,Red And Black,Neutral,Balanced,Portrait
Wikiart_746,Art Nouveau (Modern),,Dancer,Earth Tones,Warm,Dynamic,Portrait
Wikiart_747,Neoclassicism,,"Two People, Large Vases","Warm Tones (Golden, Brown)",Warm,Symmetrical,Portrait
Wikiart_748,Orientalism,,Horse And Riders,Earth Tones,Bright,Dynamic Arrangement,Portrait
Wikiart_749,Expressionism,,Seated Person,Red,Neutral,Centralized Composition,Portrait
Wikiart_750,Luminism,,"River, Hills, Trees",Earth Tones,Neutral,Balanced,Landscape
Wikiart_751,Impressionism,,"Woman, Mirror",Blue,Bright,Centered,Interior Scene
Wikiart_752,Romanticism,,"Infant, Landscape",Earth Tones,Warm,Balanced,Portrait
Wikiart_753,realism,,angelic figure,blue,soft,central figure,portrait
Wikiart_754,Art Nouveau (Modern),,Flowers,Dark Tones With Pops Of Muted Colors,Dark,Asymmetrical,Still Life
Wikiart_755,Ukiyo-e,,Person Riding A Frog,Earth Tones,Neutral,Dynamic,Mythological
Wikiart_756,Art Nouveau (Modern),,Woman Seated,Warm Tones (Orange And Gold),Bright,Centered Figure,Portrait
Wikiart_757,Impressionism,,Mountains,"Earth Tones, Blue",Neutral,Simplified Forms And Lines,Landscape
Wikiart_758,Luminism,,"River, Trees, Hills",Earth Tones,Dark,Horizontal,Landscape
Wikiart_759,Suprematism,,Geometric Forms,"Multicolored (Blue, Orange, Pink, Yellow, Green)",Bright,Asymmetrical,Abstract
Wikiart_760,Art Nouveau (Modern),,"Woman, Samovar, Table With Fruit",Bright Colors,Bright,Balanced,Portrait
Wikiart_761,Art Deco,,Vase,Orange,Bright,Asymmetrical,Still Life
Wikiart_762,Naïve Art (Primitivism),,"Moon, Clouds, Landscape",Blue,Dark,Curvilinear,Landscape
Wikiart_763,Rococo,,Person,Monochrome (Sepia Tone),Neutral,Centered,Portrait
Wikiart_764,Romanticism,,"Reclining Figure, Cushions",Monochrome (Black And White),Neutral,Horizontal Layout,Portrait
Wikiart_765,Impressionism,,"Cross, Two Figures",Earth Tones,Somber,Symmetrical,Figurative
Wikiart_766,Art Nouveau (Modern),,"Children, Playing Cards, Card House, Doll",Predominantly Dark Tones With Some Bright Colors,Neutral,"Group Composition, Central Focus On The Card House",Genre Painting
Wikiart_767,Romanticism,,Woman And Dragon,Muted Earth Tones,Dark,"Curvilinear, Centered",Fantasy
Wikiart_768,Romanticism,,Two Figures In Traditional Attire,Blue And Red,Neutral,"Centered, Symmetrical",Portrait
Wikiart_769,Expressionism,,"Rocks, Smoke, River",Earth Tones,Neutral,Balanced,Landscape
Wikiart_770,Luminism,,"Haystacks, Fields",Green,Neutral,Horizontal,Landscape
Wikiart_771,Impressionism,,"People, Interior Setting",Earth Tones,Warm,"Balanced, Detailed",Genre Painting
Wikiart_772,Romanticism,,"Trees, Mountains, Stream",Earth Tones,Neutral,Balanced,Landscape
Wikiart_773,New Realism,,Person Playing A Flute,Dark Tones With Some Light Highlights,Dark,Centralized Composition,Portrait
Wikiart_774,Expressionism,,Human Figure,Orange,Bright,Centralized,Portrait
Wikiart_775,realism,none,"person in academic robes, book",red,neutral,"centered, seated figure",portrait
Wikiart_776,Synthetic Cubism,,"Bottle, Label",Brown,Neutral,Abstract Geometric,Still Life
Wikiart_777,Romanticism,,"Person, Landscape",Dark Tones,Dark,Central Figure With Background Landscape,Portrait
Wikiart_778,Romanticism,,"Dead Game Birds, Hunting Equipment",Earth Tones,Dark,Balanced,Still Life
Wikiart_779,Romanticism,,Person Standing With A Top Hat,Sepia Tones,Neutral,Centered,Portrait
Wikiart_780,Expressionism,,"Waves, Beach",Blue-Green,Neutral,Dynamic,Landscape
Wikiart_781,Dada,,Human Figure With A Top Hat And Eyeglasses,Yellow,Bold,Centralized,Portrait
Wikiart_782,Orientalism,,"Reclining Nude Woman, Man Playing A Musical Instrument",Earth Tones,Neutral,Horizontal Composition With A Focus On The Central Figures,Genre Painting
Wikiart_783,Expressionism,,"Two People, Rainbow",Dark Green And Brown,Dark,"Unconventional, Imaginative",Portrait
Wikiart_784,Impressionism,,"Buildings, Trees, Water",Dark Tones,Dark,Horizontal,Landscape
Wikiart_785,Constructivism,,Building,Gray,Neutral,Asymmetrical,Architecture
Wikiart_786,Neoclassicism,,Human Figures,Earth Tones,Dark,Diagonal Composition,Mythological
Wikiart_787,abstract,figure,abstract figure,dark green,neutral,dynamic forms,sculpture
Wikiart_788,Romanticism,,"Trees, Person, Ruins, Mountains","Earth Tones (Browns, Greens)",Dark,"Asymmetrical, With A Focus On The Foreground And Background Elements",Landscape
Wikiart_789,Rococo,,"Soldiers, Civilians, Buildings",Earth Tones And Reds,Dark,Linear Perspective,Historical Scene
Wikiart_790,Symbolism,,"Humanoid Figure, Mechanical Elements",Earth Tones,Dark,Complex And Intricate,Fantasy
Wikiart_791,Art Nouveau (Modern),,"Rock Formations, Trees","Earth Tones, Purples, And Reds",Neutral,Balanced With A Central Focus,Landscape
Wikiart_792,Romanticism,,Person In Regal Attire,Warm Earth Tones,Neutral To Dark,"Vertical, Emphasis On The Figure",Portrait
Wikiart_793,Abstract Art,,Geometric Shapes,Purple,Dark,Dynamic Composition With Overlapping Shapes,Abstract Art
Wikiart_794,Art Nouveau (Modern),,"Woman, Child, Birds, Architectural Elements","Earth Tones, White",Neutral,"Balanced, With A Central Focus On The Woman And Child",Historical
Wikiart_795,Art Nouveau (Modern),,People With Umbrellas,Black And White,Neutral,Top-Down View,Everyday Scene
Wikiart_796,Futurism,,"Trains, Tracks",Green,Bright,"Fragmented, Geometric",Landscape
Wikiart_797,Romanticism,,Woman Standing,Dark Tones With Earth Colors,Dark,Full-Length Figure With A Soft Background,Portrait
Wikiart_798,Analytical Realism,,Faces,Dark Tones With Some Blue And Orange,Dark,Clustered Arrangement,Portrait
Wikiart_799,Purism,,Human Figures,Dark Blue And Green,Dark,Overlapping Shapes,Figurative
Wikiart_800,Symbolism,,Dragon-Like Creature,Earth Tones,Dramatic,"Centralized, Dynamic",Mythological
Wikiart_801,Shin-hanga,,Woman With Parasol,Earth Tones,Neutral,Asymmetrical,Portrait
Wikiart_802,naturalism,,"sheep, mountain, mist",grey,dark,diagonal composition,landscape
Wikiart_803,realism,,"moon, sea, land",dark green,dark,horizontal emphasis,landscape
Wikiart_804,Impressionism,,"Children, Beach",Light Earth Tones,Bright,"Balanced, Dynamic",Genre Painting
Wikiart_805,Impressionism,,"River, Trees, Boats, Bridge",Blue,"Soft, Muted","Balanced, With A Focus On The River And Surrounding Nature",Landscape
Wikiart_806,Fauvism,,"Buildings, Water Reflections",Bright Yellow,Bright,Balanced With Reflections,Cityscape
Wikiart_807,Symbolism,,"Sky, Clouds, Building",Blue,Dark,Horizontal,Landscape
Wikiart_808,Post-Impressionism,,"Girl, Flowers",Red,Bright,Central Focus,Portrait
Wikiart_809,Art Nouveau (Modern),,"House, Trees",Earth Tones,Warm,"Vertical Emphasis, Central Focus",Fantasy
Wikiart_810,Impressionism,,"Human Figures, Horse",Earth Tones,Neutral,"Vertical, Dynamic",Figurative
Wikiart_811,Art Nouveau (Modern),,"Trees, Houses, Vegetation",Green,Neutral,Balanced,Landscape
Wikiart_812,Realism,,Human Figure (Child),Bronze,Neutral,Single Standing Figure,Sculpture
Wikiart_813,Expressionism,,"Buildings, People, Dog, River",Various (Predominantly Dark And Vibrant Colors),Dark,"Balanced With A Central Focus On The People And Dog, Surrounded By Buildings And A River",Cityscape
Wikiart_814,Romanticism,,"Cattle, Tower",Earth Tones,Neutral,Balanced,Landscape
Wikiart_815,Academicism,,"Two Seated Figures, Opulent Setting, Objects Of Luxury",Warm Tones,Bright,Balanced With Depth,Figurative
Wikiart_816,Surrealism,,"Hands, Drawing Tools",Black And White,Neutral,"Symmetrical, Intricate",Still Life
Wikiart_817,Romanticism,,People In Period Clothing,Earth Tones,Neutral,Group Arrangement,Historical
Wikiart_818,Romanticism,,"People, Throne, Ornate Room",Gold,Bright,"Balanced, With Central Focus",Historical
Wikiart_819,Symbolism,,"Water Lilies, Abstract Forms",Earthy Tones With Blues And Yellows,Dark,"Balanced, Circular Forms",Landscape
Wikiart_820,impressionism,landscape,"trees, landscape",blue,"soft, muted",balanced composition with atmospheric depth,landscape
Wikiart_821,impressionism,,"buildings, church towers, statue, trees",light green,bright,"balanced, with a central focus on the church towers and statue",landscape
Wikiart_822,Realism,,"People, Classroom, Blackboard",Earth Tones,Neutral,"Balanced, Group Arrangement",Genre Painting
Wikiart_823,Symbolism,,"Sailboat, River, Sky",Green,Dark,Horizontal Emphasis,Landscape
Wikiart_824,Pictorialism,,"Building, Carriages",Black And White,Neutral,Symmetrical,Cityscape
Wikiart_825,Safavid Period,,"Trees, Pathway, Benches",Green,Neutral,Symmetrical,Landscape
Wikiart_826,Futurism,,Geometric Shapes,Brown,Neutral,"Dynamic, Angular",Abstract
Wikiart_827,Romanticism,,"Man, Desk, Drawings",Neutral Tones,Dark,Asymmetrical,Portrait
Wikiart_828,,,Seated Figure,Gold,Neutral,Three-Dimensional,Sculpture
Wikiart_829,Tonalism,,"Sheep, Shepherd","Warm Tones (Yellows, Browns)",Dark,Balanced With A Focus On The Shepherd And Flock,Landscape
Wikiart_830,Romanticism,,"Mountains, Trees, People",Green,Neutral,Asymmetrical,Landscape
Wikiart_831,Neoclassicism,,"People In Roman Attire, Architectural Elements",Earth Tones,Neutral,"Balanced, Linear Perspective",Historical
Wikiart_832,impressionism,,swimmers,blue and green,bright,"dynamic, with flowing movement",figurative
Wikiart_833,realism,,person rowing a boat,blue,neutral,balanced and horizontal emphasis,landscape
Wikiart_834,Realism,,"Field, Sky, People, Horses",Earth Tones,Dark,Balanced With A Central Focus,Landscape
Wikiart_835,Expressionism,,Seated Person,Blue,Dark,Centralized,Portrait
Wikiart_836,Constructivism,,Human Figure,Blue And Black,Bold,Geometric,Poster Art
Wikiart_837,Rococo,,"Three People, Trees, Landscape Elements",Soft Pastels,Bright,Dynamic Triangular Arrangement,Genre Painting
Wikiart_838,Academicism,,Regal Attire With A Fur-Trimmed Robe And Ornate Decorations,Gold And Cream,Dark,Centered Figure,Portrait
Wikiart_839,Dada,,Two Figures In Costume,Black And White (Monochrome),Neutral,Symmetrical,Portrait
Wikiart_840,Romanticism,,Horses And Soldiers,Earth Tones,Dynamic,Diagonal,Historical
Wikiart_841,Cloisonnism,,Two Nude Figures,Earth Tones,Warm,Balanced,Figurative
Wikiart_842,Orphism,,Curved Lines,Multicolor (Predominantly Pastels),Bright,Dynamic And Flowing,Abstract
Wikiart_843,Abstract Art,,Maze Pattern,Orange,Neutral,Symmetrical,Geometric
Wikiart_844,Expressionism,,"Two Figures, Skulls, Tools",Dark Tones With Red And Pale Skin,Dark,Diagonal Arrangement,Portrait
Wikiart_845,Naïve Art (Primitivism),,Flower,Red,Bright,Centralized,Still Life
Wikiart_846,Romanticism,,"Buildings, Trees, People, Animals",Earth Tones,Neutral,Horizontal Composition With A Central Vanishing Point,Landscape
Wikiart_847,Romanticism,,"Man In Regal Attire, Seated Lion, Attendants",Dark Tones With Red Accents,Dark,Central Figure With Attendants In The Background,Portrait
Wikiart_848,Symbolism,,"Figure With Halo, Figure In Repose",Dark Tones With Highlights,Dark,"Dynamic, Focused On Figures",Religious
Wikiart_849,realism,,woman in traditional dress holding a fan,"rich, dark tones with vibrant accents",bright,centralized figure,portrait
Wikiart_850,Art Nouveau (Modern),,Two Figures,Earth Tones,Neutral,Vertical Orientation With Central Focus,Portrait
Wikiart_851,realism,,"two people, table, chairs, dog",dark red,dark,balanced,genre painting
Wikiart_852,Romanticism,,"Woman, Interior Setting",Black And White (Monochrome),Dark,"Centralized Figure, Detailed Background",Portrait
Wikiart_853,Realism,,"Two Men, Hills, Houses, Trees",Green,Bright,Balanced,Landscape
Wikiart_854,Realism,,Elderly Woman,Dark,Neutral,Profile View,Portrait
Wikiart_855,Romanticism,,"People, Interior Setting",Earth Tones,Dark,Dense Grouping,Historical
Wikiart_856,Cubism,,Person With A Musical Instrument,Red,Dark,Central Figure With Balanced Symmetry,Portrait
Wikiart_857,Art Nouveau (Modern),,"Floating Figure, Standing Figure",Black And White,Contrast,"Symmetrical, Vertical Emphasis",Fantasy
