company_name,registered_office,exchange_code,principal_activities,board_members,executive_profiles,revenue,net_profit_or_loss,total_Debt,total_assets,cash_reserves,net_assets,earnings_per_share,dividend_per_share,largest_shareholder,the_highest_ownership_stake,major_equity_changes,major_events,bussiness_sales,bussiness_profit,bussiness_cost,business_segments_num,business_risks,remuneration_policy,auditor,id
OFX Group Limited,"Level 19, 60 Margaret Street, Sydney NSW 2000, Australia",ASE,Finance,Connie Carnabuci||Cathy Kovacs||John Alexander (Skander) Malcolm||Grant Murdoch||Steven Sargent||Douglas Snedden AO,John (Skander) Malcolm||Selena Verth||Mark Shaw||Elisabeth Ellis||Elaine Herlihy||Alfred Nader||Yung Ngo||Kate Svoboda||Adam Thomas||Sarah Webb,102500000.0,15870000,195500000,262100000.0,195500000.0,67100000.0,0.065,0.0,Selector Funds Management Limited,11.8,Yes,M&A,102500000,28900000,67300000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,KPMG,89
"Blue Apron Holdings, Inc.","28 Liberty Street, New York, New York 10005",NYSE,Retail,Jennifer Carr-Smith||Beverly K. Carmichael||Brenda Freeman||Elizabeth Huebner||Amit Shah,Linda Findley||Mitch Cohen,458467000.0,-109733000,137421000,171142000.0,33476000.0,33721000.0,-3.02,0.0,Joseph N. Sanberg and affiliates,22.3,Yes,Litigation||Restructuring||Other,458467000,153893000,304574000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Ernst & Young LLP,90
CoreCard Corporation,"One Meca Way, Norcross, Georgia 30093",NYSE,Technology,"J. Leland Strange||A. Russell Chandler, III||Philip H. Moise||Elizabeth W. Camp||Kathryn Petralia",J. Leland Strange||Matthew A. White,69765000.0,13881000,10469000,63232000.0,20399000.0,52763000.0,1.62,0.0,J. Leland Strange,15.3,Yes,Other,69765000,37101000,32664000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,"Nichols, Cauley & Associates, LLC",91
Crombie Real Estate Investment Trust,"610 East River Road, Suite 200, New Glasgow, Nova Scotia, B2H 3S2, Canada",TSX,Real Estate||Retail,J. Michael Knowlton|| Paul V. Beesley|| Jane Craighead|| James M. Dickson|| Mark Holly|| Heidi Jamieson-Mills|| Barbara Palk|| Jason P. Shannon|| Paul D. Sobey|| Michael Vels|| Michael Waters|| Karen Weaver|| Michael Knowlton,Mark Holly || Clinton D. Keay || Cheryl Fraser || John Barnoski || Trevor Lee || Arie Bitton || Fred Santini || Michael Knowlton,308860935.0,123517580,1736797033,3002108767.0,4504781.0,1362019954.0,0.6993,0.6541,Empire Company Limited,41.5,Yes,Leadership Change|| Major Contract||Other,246926156,207457070,101407285,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,PricewaterhouseCoopers LLP,92
SIG plc,"Adsetts House, 16 Europa View, Sheffield Business Park, Sheffield, S9 1XH, United Kingdom",LSE,Manufacturing||Retail||Energy||Other,Gavin Slark||Ian Ashton||Andrew Allner||Shatish Dasani||Bruno Deschamps||Kath Durrant||Gillian Kent||Simon King||Alan Lovell||Christian Rochat,Gavin Slark || Ian Ashton || Julie Armstrong || Andrew Watkins || Marcin Szczygiel || Tim Johnson || Alfons Horn || Kevin Windle || Kate Taylor || Julie Westcott || Philip Johns || Louis van Wijck,3172610000.0,21033655,602512440,1809030031.0,176547001.0,363407278.0,0.0176,0.0,CD&R Sunshine S. a. r. l.,28.96,No,M&A||Leadership Change||Litigation,3724313900,142350300,3615481700,8.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Ernst & Young LLP,93
Peako Limited,"Level 1, 10 Yarra Street, South Yarra Victoria, 3141 Australia",ASX,Mining,Geoffrey Albers|| Raewyn Clark|| Paul Kitto,Raewyn Clark|| Robert Wright,1208.0,-716307,0,3434196.0,979990.0,3202695.0,-0.002336,0.0,Albers Group,30.73,Yes,Other,1208,-716307,717516,1.0,Market Risk||Credit Risk,Fixed||Stock Option,Grant Thornton Audit Pty Ltd,94
Empire Company Limited,"115 King Street, Stellarton, Nova Scotia, B0K 1S0, Canada",TSX,Retail||Real Estate,Michelle Banik||Gregory Josefowicz||Martine Reardon||Paul D. Sobey||Martine Turcotte||Karl R. Sobey||Michael Medline||James M. Dickson||William Linton||John R. Sobey||Sharon Driscoll||Cynthia Devine||Sue Lee||Frank C. Sobey||Rob G.C. Sobey,Michael Medline||Matt Reindel,22202542600.0,548983400,5492851800,12214549000.0,597934000.0,3674243100.0,2.06,0.44,,,Yes,M&A||Other,22202542600,5638305200,16564237500,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Performance-based||Stock Option||Fixed,PricewaterhouseCoopers LLC,95
"Senti Biosciences, Inc.","2 Corporate Drive, First Floor, South San Francisco, CA 94080",NASDAQ,Healthcare||Technology,Timothy Lu||Susan Berland||Brenda Cooperstone||Edward Mathers||James J. Collins||Omid Farokhzad||David Epstein,Timothy Lu || Philip Lee || Kanya Rajangam || Deborah Knobelman,4286000.0,-58210000,0,180792000.0,60987000.0,127263000.0,-2.23,0.0,Bayer Healthcare LLC,,Yes,M&A||Other,4286000,-70629000,74915000,1.0,Market Risk||Operational Risk||Strategic Risk||Other,Stock Option||Performance-based,KPMG LLP,96
Galileo Resources Plc,"7/8 Kendrick Mews, London, SW7 3HG, United Kingdom",AIM,Mining,Colin Bird||Edward P Slowey||Joel M Silberstein||Christopher Molefe||John Richard Wollenberg,Colin Bird||Edward Slowey||Joel Silberstein,451754.0,2093291,0,19496733.0,6308732.0,18980406.0,0.002,0.0,Hargreaves Lansdown Asset Management,14.03,Yes,M&A||Major Contract,451754,4829331,1022264,4.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other,Mixed,PKF Littlejohn LLP,97
Duni AB (publ),"Box 237, 201 22 Malm , Sweden",NASDAQ,Manufacturing||Retail||Other,Thomas Gustafsson|| Pauline Lindwall|| Morten Falkenberg|| Sven Knutsson|| Pia Marions,Robert Dackeskog|| Magnus Carlsson|| Linus Lemark|| Malin Cullin|| Nicklas Bengtsson|| Johan Crusefalk|| Manfred Hargarten,725504000.0,20860800,136968960,763795200.0,38688000.0,389568000.0,0.433,0.62,Mellby G rd AB,29.99,Yes,M&A||Restructuring,416614240,42574400,682929600,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,PricewaterhouseCoopers AB,98
Structural Monitoring Systems Plc,"The Old Court, 8 Tufton Street, Ashford, Kent TN28 1PF, United Kingdom",SMN,Manufacturing||Technology,Ross Love||Sam Wright||Hendrik Deurloo||Bryant McLarty||Brian Wall,Ross Love||Sam Wright||Hendrik Deurloo||Bryant McLarty||Brian Wall,10185532.0,-2614503,3542229,35051000.0,1167768.0,10094510.0,-0.02115,0.0,Drake Private Investments,16.72,Yes,M&A||Leadership Change||Other,,,,1.0,Market Risk||Operational Risk,Performance-based||Mixed,Jeffrey Henry Audit Limited,99
"Terns Pharmaceuticals, Inc.","1065 East Hillsdale Blvd., Suite 100, Foster City, California",TERN,Healthcare || Technology,Senthil Sundaram||Mark Vignola||David Fellows||Carl Gordon||Jeffrey Kindler||Hongbo Lu||Jill Quigley||Ann Taylor||Radhika Tripuraneni,Senthil Sundaram||Mark Vignola,,,,,,,,,,,,Major Contract||Other,,,,,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Not Disclosed,,100
