ID,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards
498,Alberto Giacometti,Swiss,Cubism||Surrealism,1901/10/10,1966/1/11,64,20th,Libra,Switzerland,Borgonovo,Europe,Switzerland,Chur,Drawing||Painting||Printmaking||Sculpture,Figurative,Married,école de Paris||Geneva School of Fine Arts,0,0
499,Baron Adolph de Meyer,German||Scottish,,1868/9/1,1946/1/6,78,19th-20th,,,Paris,Europe,,,Photography,Portrait,,Royal Photographic Society,0,0
500,Maya Ying Lin,American,,1959/10/5,,,,Libra,,,,,,Architecture||Environment||Graphic Design||Sculpture,Environmental||History,,Yale University,0,0
501,Richard Serra,United States,Minimalism||Process Art,1939/11/2,,,,Scorpio,United States,San Francisco,North America,,,Digital Art||Sculpture,Abstract,Remarried,"University of California, Berkeley||University of California, Santa Barbara",0,0
502,Telemaco Signorini,Italian,Macchiaioli,1835/8/18,1901/2/1,65,19th-20th,Leo,Italy,Florence,Europe,Italy,,Painting,Landscape,,Florentine Academy,0,0
503,Jeremy Moon,British,Abstract Art,1934/8/29,1973/11/30,39,20th,Virgo,United Kingdom,Altrincham,Europe,,,Painting,Abstract,Married,Central School of Art,1,0
504,Martín Chirino López,Spanish,Abstract art||El Paso,1925/3/1,,,,,Spain,Las Palmas de Gran Canaria,Europe,,,Sculpture,Abstract,,Royal Academy of Fine Arts of San Fernando||Royal Academy of Arts,0,0
505,Michelangelo Pistoletto,Italian,Arte Povera,1933/6/25,,,,Cancer,Italy,Biella,Europe,United Kingdom,,Digital Art||Painting||Performance||Sculpture,Avant Garde Experimental||Conceptual||Portrait,,,0,0
506,Barkley L. Hendricks,American,Conceptualism||Contemporary,1945/4/16,2017/4/18,72,20th-21st,Aries,United States,Tioga,North America,United States,New London,Painting||Photography,Landscape||Portrait,,Simon Gratz High School||Pennsylvania Academy of the Fine Arts||Yale University,1,0
507,Albert Oehlen,German,Neue Wilde,1954/9/17,,,,Virgo,Germany,Krefeld,Europe,,,Music||Painting,Abstract||Figurative,Married,Hochschule für bildende Künste Hamburg,0,0
508,Harmonia Rosales,American,,1905/6/6,,,,Gemini,United States,Chicago,North America,,,Painting,,,Glenville State College,0,0
509,"Lenore ""Lee"" Krassner",American,Abstract Expressionism,1908/10/27,1984/6/19,75,20th,Scorpio,United States,New York,North America,United States,New York,Painting,Portrait||Still Life,Married,The Cooper Union||National Academy of Design,0,0
510,Peter Doig,Scottish,,1959/4/17,,,,Aries,Scotland,Edinburgh,Europe,,,Painting,Figurative||Landscape,,Wimbledon School of Art||Saint Martin's School of Art||Chelsea School of Art,0,0
511,Anne Ryan,American,Abstract Expressionism,1905/3/3,1905/5/7,0,20th,Pisces,United States,Hoboken,North America,United States,Morristown,Collage||Painting||Printmaking,,Separated,Academy of St Elizabeth Convent,0,0
512,Allan McCollum,American,Contemporary,1944/8/4,,,,Leo,United States,Los Angeles,North America,,,Painting,,,Los Angeles Trade Technical College,0,0
513,António Dacosta,Portuguese,Surrealism,1914/11/3,1990/12/2,76,20th,Scorpio,Portugal,Angra do Heroísmo,Europe,France,Paris,Literature||Painting||Theory,Surrealist,,Angra high school|| Escola de Belas Artes,0,0
514,Nalini Malani,Indian,Contemporary,1905/4/29,,,,,British India||Pakistan,Karachi,Asia,,,Digital Art||Drawing||Film||Painting,,,Sir Jamsetjee Jeejebhoy School of Art||Bhulabhai Memorial Institute||Paris (French Government Scholarship),0,0
515,Antonietta Brandeis,Czech||Italian,,1848/1/13,,,,,Austria-Hungary,Miskovice,Europe,,,Painting,Genre||Landscape||Portrait||Religious,,Venetian Academy of Fine Arts,0,0
516,Ralston Crawford,American||Canadian,Abstract Art,1906/9/5,1978/4/27,71,20th,Virgo,Canada,,North America,United States,Houston,Painting||Photography||Printmaking,Abstract||Landscape,Married,Pennsylvania Academy of the Fine Arts||Barnes Foundation,0,0
517,Mary Corse,American,Light and Space||Minimalism,,,,,,,,,,,Painting,Abstract,,University of California||Chouinard Art Institute,0,0
518,Adriana Varej?o,Brazilian,Contemporary,1964/11/11,,,,Scorpio,Brazil,Rio de Janeiro,South America,,,Drawing||Installation||Painting||Photography||Sculpture,Portrait,,,0,0
519,Kara Elizabeth Walker,American,Contemporary,1969/11/26,,,,Sagittarius,United States,Stockton,North America,,,Film||Installation||Others||Painting||Printmaking,,,Atlanta College of Art||Rhode Island School of Design,0,0
520,Henri Cartier-Bresson,French,Surrealism,1908/8/22,2004/8/3,95,20th-21st,Leo,France,Chanteloup-en-Brie,Europe,France,Montjustin,Painting||Photography,Film,,école Fénelon||Lhote Academy,0,0
521,Otto Gustaf Carlsund,Swedish,Concrete art||Constructivism||Cubism||Neo-Plasticism||Purism,,,,,,,,Europe,,,Painting||Theory,Abstract,,Académie Moderne,0,0
522,Josè Guerrero,Spanish,Abstract Expressionism,1914/10/29,1991/12/23,77,20th,Scorpio,Spain,Granada,Europe,Spain,Barcelona,Painting,Abstract,,Escuela de Artes y Oficios||Escuela Superior de Bellas Artes de San Fernando||école des Beaux-Arts,0,0
523,Roberto Sebastián Antonio Matta Echaurren,Chilean,Abstract Expressionism||Surrealism,1911/11/11,2002/11/23,91,20th-21st,Scorpio,Chile,Santiago,South America,Italy,Civitavecchia,Painting,Abstract||Surrealist,,Pontificia Universidad Católica de Chile,0,0
524,Louise Nevelson,American||Russian||Jewish,Conceptual Art,1899/9/23,1988/4/17,88,19th-20th,Libra,Russian Federation,Perislav,Europe,United States,New York,Sculpture,,,,0,0
525,Ana Mendieta,American||Cuban,,1948/11/18,1985/9/8,36,20th,Scorpio,Cuba,Havana,North America,United States,New York,Digital Art||Painting||Performance||Sculpture,,,Catholic private school||University of Iowa,0,0
526,Edward Joseph Ruscha IV,American,Pop Art,1937/12/16,,,,Sagittarius,United States,Omaha,North America,,,Drawing||Film||Painting||Photography||Printmaking,,,Chouinard Art Institute||University of California,0,0
527,Claes Oldenburg,American||Swedish,Pop Art,1929/1/28,,,,Aquarius,Sweden,Stockholm,Europe,,,Sculpture,Sculpture||Social Realism,Married,School of the Art Institute of Chicago,0,0
528,Patrick Heron,British,Modernism,1920/1/30,1999/3/20,79,20th,Aquarius,United Kingdom,Headingley,Europe,United Kingdom,Zennor,Literature||Painting,Abstract||Figurative,Married,St. George's School||The Slade School of Art,0,0
529,Etel Adnan,Lebanese-American,,1925/2/24,,,,Pisces,Lebanon,Beirut,Asia,,,Literature||Painting||Visual,Abstract||Landscape,,"Sorbonne||University of California, Berkeley||Harvard University",0,0
530,Arnold B?cklin,Swiss,Symbolism,1827/10/16,1901/1/16,73,19th-20th,Libra,Switzerland,Basel,Europe,Italy,Fiesole,Painting,Fantasy||Mythological,,Düsseldorf academy||Weimar academy,0,0
531,Hanne Darboven,German,Conceptual Art||Minimal Art,1941/4/29,2009/3/9,67,20th-21st,Taurus,Germany,Munich,Europe,Germany,Hamburg,Installation,Abstract,,Hochschule für bildende Künste Hamburg,0,0
532,Sonya Rapoport,American||Jewish,Conceptual||New Media,1923/10/6,1905/7/7,-19,20th,Libra,United States,Boston,North America,United States,Berkeley,Digital Art||Painting,Abstract||Pop Art,Married,"Massachusetts College of Art||Boston University||New York University||Art Students League of New York||Corcoran School of Art||University of California, Berkeley",1,0
533,Hiroshi Sugimoto,Japanese,Dadaism||Surrealism,1948/2/23,,,,Pisces,Japan,Tokyo,Asia,,,Architecture||Photography,,,Rikkyo University||Art Center College of Design,0,0
534,Leo Valledor,American||Filipino,Minimalism,1905/4/19,1905/6/11,0,20th,Aries,United States,San Francisco,North America,United States,San Francisco,Painting,Abstract,Married,California School of Fine Arts,1,1
535,Keith Allen Haring,American,Graffiti||Pop Art,1958/5/4,1990/2/16,31,20th,Taurus,United States,Reading,North America,United States,New York City,Conceptual||Digital Art||Painting||Performance,,,School of Visual Arts,0,0
536,Takashi Murakami,Japanese,Contemporary,1962/2/1,,,,Aquarius,Japan,Tokyo,Asia,,,Digital Art||Fashion||Others||Painting||Sculpture,,,Tokyo University of the Arts,0,0
537,Horace Pippin,United States,,1988/2/22,1946/7/6,-42,20th,Pisces,United States,West Chester,North America,United States,West Chester,Painting,History||Landscape||Narrative||Portrait||Religious,,,0,0
538,Jean Philippe Arthur Dubuffet,French,Art Brut,1901/7/31,1985/5/12,83,20th,Leo,France,Le Havre,Europe,France,Paris,Painting||Sculpture,,Married,Académie Julian,0,0
539,Hans Haacke,American||German,Institutional Critique||Zero,1936/8/12,,,,Leo,Germany,Cologne,Europe,,,Environment||Installation||Painting,Political,,Cooper Union in New York,1,0
540,Corita Kent,American,Pop Art,1918/11/20,1986/9/18,67,20th,Scorpio,United States,Fort Dodge,North America,United States,,Education||Graphic Design||Others,,,Immaculate Heart College,1,0
541,Isidore Isou,French,Lettrism,1925/1/31,2007/8/28,82,20th-21st,Aquarius,Romania,Botosani,Europe,France,Paris,Film||Literature||Science||Visual,Avant Garde Experimental,,,0,0
542,Samuel Bak,Lithuanian,Conceptual Art||Post-modernism,1933/8/12,,,,Leo,Lithuanian,Vilnius,Europe,,,Literature||Painting,Abstract||Pop Art||Surrealist,,,0,0
543,Shirin Neshat,Iranian,,1957/3/26,,,,Aries,Iran,Qazvin,Asia,,,Digital Art||Film||Photography,,,UC Berkeley,0,0
544,Aleksander Mikhailovich Rodchenko,Russian,Constructivism||Cubism||Futurism||Productivism||Suprematism,1891/12/5,1956/12/3,64,19th-20th,Sagittarius,Russian,St. Petersburg,Europe,Russian,Moscow,Graphic Design||Painting||Photography||Sculpture,,Married,RABIS/VKhUTEMAS/VKhUTEIN,0,0
545,Mahmoud Farshchian,Iranian,,1930/1/24,,,,Aquarius,Iran,Isfahan,Asia,,,Painting||Sculpture,Other,,"Isfahan High School for the Fine Arts, University of Tehran's School of Fine Arts",0,0
546,Bracha Lichtenberg Ettinger,Israeli,,1948/3/23,,,,Aries,Israel,Tel Aviv,Asia,,,Drawing||Painting||Photography,,,,0,0
547,Tamara ?empicka||Tamara de Lempicka||Maria Górska,Polish,Art Deco,1898/5/16,1980/3/18,81,19th-20th,Taurus,Russia||Russian Empire,Warsaw,Europe,Mexico,,Painting,Nude||Portrait,,,0,0
548,Michel Majerus,Luxembourgers,,可以的可以的可以,,,,,Luxembourgers,Esch-sur-Alzette,Europe,,,Painting,,,,0,0
549,Carlos Orozco Romero,Mexican,Mexican muralism,1896/9/3,1984/3/29,87,19th-20th,Virgo,Mexico,Guadalajara,South America,Mexico,,Graphic Design||Painting,,Married,,0,1
550,Gustav Metzger,Stateless,Art Strike||Auto-Destructive Art,1926/4/10,2017/3/1,90,20th-21st,Libra,Germany,Nuremberg,Europe,,,Others,Avant Garde Experimental||Political,,Royal Academy of Fine Arts,0,0
551,Fu Baoshi,Chinese,New Chinese Painting Movement||New Jinling School of Fine Arts,1905/3/18,1905/5/18,61,20th,,China,Xinyu,Asia,,,Painting,Figurative||Landscape,,Tokyo School of Fine Arts,0,0
552,Frank Eugene,American,Photo-Secession,1865/9/19,1936/12/16,71,19th-20th,Virgo,United States,New York City,North America,Germany,,Drawing||Photography,,,City College of New York||Bavarian Academy of Fine Arts,0,0
553,Sherrie Levine,American,Appropriation art||Postmodernism,1947/4/17,,,,Aries,America,Hazleton,North America,,,Conceptual||Painting||Photography,,,,0,0
554,John Hilliard,British,Conceptual,1905/4/28,,,,Taurus,Britain,Lancaster,Europe,,,Photography,Conceptual||Other,,,0,0
555,Naum Gabo,Russian,Constructivism||Cubism||Futurism,1890/8/5,1977/8/23,87,19th-20th,Leo,Russian,Bryansk,Europe,America,,Sculpture,Abstract,,,0,1
556,Jorge Pardo,Cuban-American,,1905/5/16,,,,,Cuba,Havana,North America,,,Architecture||Graphic Design||Painting||Sculpture,,,University of Illinois at Chicago||Art Center College of Design,0,0
557,Jacqueline Lamba,French,Surrealism,1910/11/17,1993/7/20,82,20th,Scorpio,France,Saint-Mandé,Europe,France,Rochecorbon,Drawing||Painting,,Married,,0,0
558,Philip Howard Francis Dixon Evergood,American,,1905/3/15,1905/5/26,,,,United States,New York City,North America,United States,Bridgewater,Illustration||Literature||Painting||Printmaking||Sculpture,,,Eton||Cambridge University||Slade School||Art Students League of New York||Académie Julian||Atelier 17,0,0
559,Sir Antony Mark David Gormley,British,,1950/8/30,,,,Virgo,Britain,Hampstead,Europe,,,Sculpture,,Married,,0,0
560,Audrey L. Flack,American,Abstract Expressionism||New Realism||Photorealism,1931/5/30,,,,Gemini,United States,New York City,North America,,,Painting||Photography||Sculpture,Illustration,,Cooper Union||Yale University||New York University Institute of Fine Arts||High School of Music & Art,0,0
561,Camilla L?w,Norwegian,,1905/5/29,,,,Gemini,Norway,,Europe,,,Others,,,Glasgow School of Art,0,0
562,,Hungarian,,1921/5/26,1985/6/19,64,20th,Gemini,Hungary,,Europe,,,Graphic Design||Painting,,,új Iskola,0,0
563,Nicolae Tonitza,Romanian,Expressionism||Post-impressionism,1886/4/13,1940/2/27,53,19th-20th,Aries,Romania,Barlad,Europe,,,Others||Painting||Printmaking||Theory,,,Ia?i National School of Fine Arts||Royal Academy of Fine Arts,0,0
564,Romare Bearden,African-American,Harlem Renaissance,1911/9/2,1988/3/12,77,20th,Aquarius,United States,Charlotte,North America,,,Collage||Graphic Design||Literature||Painting,,,Sorbonne||Art Students League||New York University||Lincoln University||Boston University,0,0
565,Wu Guanzhong,Chinese,Fauvism||Impressionism||Modern Chinese,1919/8/29,2010/6/25,90,20th-21st,Virgo,China,Yixing,Asia,China,Beijing,Literature||Painting,Landscape,,Zhejiang Industrial School||Hangzhou National Academy of Art ||Ecole Nationale Supérieure des Beaux Arts,0,0
566,Rita Angus,New Zealander,,1908/3/12,1970/1/25,61,20th,Sagittarius,New Zealand,Hastings,Oceania,New Zealand,Wellington,Painting,Landscape||Portrait,,Canterbury College School of Art||Elam School of Fine Arts,0,0
567,Michael Heizer,American,Land Art,1905/4/27,,,,Taurus,United States,Berkeley,North America,,,Sculpture,,,,0,0
568,Méret Elisabeth Oppenheim,German||Swiss,Surrealism,1913/10/6,1985/11/15,72,20th,Libra,Germany,Berlin,Europe,Switzerland,Basel,Conceptual||Photography,,,,0,0
569,Jacob Lawrence,African-American,Dynamic Cubism,1917/9/7,2000/6/9,83,20th-21st,Cancer,United States,Atlantic City,North America,,,Painting,Avant Garde Experimental||History,,University of Washington,0,0
570,Jean Hugo,,Magical Realism||Metaphysical Painting||Romanticism,1894/11/19,1984/6/21,89,19th-20th,Scorpio,France,Paris,Europe,France,Lunel,Illustration||Literature||Painting||Performance,Architecture||Illustration||Sketch,,,0,0
571,Marino Marini,Italian,,1901/2/27,1980/8/6,79,20th,Pisces,Italy,,Europe,Italy,,Painting||Sculpture,Fantasy||Figurative||Nude||Portrait,,"Accademia di Belle Arti, Florence||Scuola d’Arte di Villa Reale, Monza||Accademia di Belle Arti di Brera, Milan",0,0
572,Meta Vaux Warrick Fuller,African-American,Harlem Renaissance,1877/6/9,1968/3/18,90,19th-20th,Virgo,United States,Philadelphia,North America,,,Literature||Painting||Sculpture,Cultural and Regional Themes,,Pennsylvania Academy of the Fine Arts||Pennsylvania Museum and School of Industrial Art,0,0
573,Edmund Charles Tarbell,American,Impressionism,1862/4/26,1938/8/1,76,19th-20th,Taurus,United States,Groton,North America,United States,New Castle,Painting,Portrait,Married,Massachusetts Normal Art School||School of the Museum of Fine Arts||Académie Julian,1,0
574,Sir Peter Thomas Blake,British,Pop Art,1932/6/25,,,,Cancer,United Kingdom,Dartford,Europe,,,Graphic Design||Painting,,Divorced,Gravesend Technical College school of art||Royal College of Art,0,0
575,Georges Henri Rouault,French,Expressionism||Fauvism,1871/5/27,1958/2/13,86,19th-20th,Gemini,France,Paris,Europe,,,Drawing||Others||Painting,Landscape||Religious||Social Realism||Still Life,,école des Beaux-Arts,0,0
576,Lita Albuquerque,American,Light and Space,1905/4/29,,,,Taurus,United States,Santa Monica,North America,,,Installation||Painting||Sculpture||Social,,,University of California (UCLA)||Otis College of Art and Design,1,4
577,Sheikh Mohammed Sultan||SM Sultan,Bengali,Avant-garde,1923/8/10,1994/10/10,71,20th,Libra,British India,Machimdia||Jessore,Asia,Bangladesh,,Drawing||Painting,,,Government School of Art,0,0
578,Richard Ernst Eurich,British,,1903/3/13,1992/6/6,89,20th,Pisces,United Kingdom,Bradford,Europe,United Kingdom,Southampton,Painting,Landscape||Narrative,,St George's School||Bradford Grammar School||Bradford School for Arts and Crafts||Slade School of Art,0,0
579,Maurizio Cattelan,Italian,,1960/11/21,,,,Scorpio,Italy,Padova,Europe,,,Sculpture,,,,0,0
580,Frederick Sommer,American,,1905/9/7,1999/1/23,93,20th,Virgo,Italy,Angri,Europe,United States,Prescott,Collage||Drawing||Photography,Abstract||Landscape||Nude||Still Life,Married,Cornell University,1,0
581,Sam Gilliam,American,Abstract Expressionism||Color Field||Lyrical Abstraction,1933/11/30,,,,Sagittarius,United States,Tupelo,North America,,,Painting||Sculpture,Abstract,Remarried,Central High School in Louisville||University of Louisville,1,0
582,Glenn Brown,British,,1905/5/19,,,,Taurus,United Kingdom,Hexham,Europe,,,Painting,,,Norwich School of Art & Design||Bath School of Art and Design||Goldsmith's College,0,0
583,Isa Genzken,German,Contemporary,1948/11/27,,,,Sagittarius,Germany,Bad Oldesloe,Europe,,,Collage||Digital Art||Film||Installation||Photography||Sculpture,Architecture||Contemporary,Divorced,Hamburg University of Fine Arts||Berlin University of the Arts||Arts Academy Düsseldorf||University of Cologne,1,0
584,Manuel Neri,American,Bay Area Figurative Movement,1930/4/12,,,,Aries,United States,Sanger,North America,,,Ceramics||Sculpture,Figurative,,San Francisco City College||California College of Arts and Crafts||California School of Fine Arts,1,7
585,Anita Catarina Malfatti,Brazilian,Expressionism||Modernism,1889/12/2,1964/11/6,74,19th-20th,Sagittarius,Brazil,S?o Paulo,Africa,,,Painting,,,Mackenzie College,0,0
586,Arshile Gorky,Armenian-American,Abstract Expressionism,1904/4/15,1948/7/21,44,20th,Aries,Ottoman Empire,Khorgom (today's Dilkaya),Asia,,,Painting,,,"New School of Design, Grand Central School of Art",0,0
587,Jiro Yoshihara,Japanese,Abstract Expressionism||Avant-garde||Surrealism||Zen,1905/1/1,1972/2/10,67,20th,,Japan,Osaka,Asia,Japan,Ashiya,Painting,Abstract||Surrealist,,,0,0
588,Graydon Parrish,,Realism,1970/4/3,,,,Pisces,USA,Phoenix,North America,,,Painting,Allegorical||Nude,,Booker T. Washington High School for the Performing and Visual Arts||New York Academy of Art||Amherst College,0,0
589,Red Grooms,American,Pop Art,1937/6/7,,,,Gemini,United States,Nashville,North America,,,Digital Art||Painting||Sculpture,Landscape,,Art Institute of Chicago||Nashville's Peabody College||New School for Social Research||Hans Hofmann School of Fine Arts,0,0
590,Alfred Otto Wolfgang Schulze,German,Lyrical Abstraction||Tachisme,1913/5/27,1951/9/1,37,20th,Gemini,Germany,Berlin,Europe,France,Paris,Painting||Photography,Landscape||Portrait,,Reiman-Schule,0,0
591,Dan Christensen,American,Abstract expressionism||Color field painting||Lyrical Abstraction,1942/10/6,2007/1/20,64,20th-21st,Libra,America,Cozad,North America,America,Easthampton,Painting,Abstract,Married,Kansas City Art Institute,0,0
592,Rainer Fetting,German,Neue Wilde,1949/12/31,,,,,Germany,Wilhelmshaven,Europe,,,Painting||Sculpture,Figurative||Landscape||Portrait,,Berlin Art Academy,0,0
593,Robert Irwin,American,Light and Space,1928/9/12,2023/10/25,95,20th-21st,Virgo,America,Long Beach,North America,,,Installation||Painting,,,Otis Art Institute||Jepson Art Institute||Chouinard Art Institute,1,3
594,John Nelson Shanks,American,Realism,1937/12/23,2015/8/28,77,20th-21st,,United States,Rochester,North America,United States,"Andalusia, Pennsylvania",Painting,Portrait,,Kansas City Art Institute||National Academy of Design||Art Students League of New York||Accademia de Belle Arti,1,0
595,Jannis Kounellis,Greek||Italian,Arte Povera,1936/3/23,2017/2/16,80,20th-21st,Aries,Greece,Piraeus,Europe,Italy,Rome,Painting||Performance||Sculpture,,,Accademia di Belle Arti,0,0
596,Joyce Kozloff,American,Feminist Art||Pattern and Decoration,1942/12/14,,,,Sagittarius,United States,Somerville,North America,,,Decorative||Painting,Avant Garde Experimental,Married,Art Students League||Rutgers University||University of Florence||Carnegie Institute of Technology||Columbia University,1,0
597,Lynda Benglis,Greek||American,Minimalism,1941/10/25,,,,Scorpio,United States,Lake Charles,North America,,,Painting||Sculpture||Visual,Illustration||Political,Married,McNeese State University||Newcomb College,1,0
598,Howardena Pindell,American,Minimalism||Pointillism,1943/4/4,,,,Aries,United States,Philadelphia,North America,,,MixedMedia||Painting,Abstract,,Philadelphia High School for Girls||Boston University||Yale University,1,0
599,Mark Tansey,American,,1949/1/1,,,,,United States,San Jose,North America,,,Painting,History,,San Francisco Art Institute||Art Center College of Design||Hunter College,1,0
600,Nicola Perscheid,German,,1864/12/3,1930/5/12,66,19th-20th,Pisces,Germany,Moselwei?,Europe,,,Photography,Portrait,,"Photographic Society of Vienna, Danish college for photography",0,0
601,Luigi Veronesi,Italian,Abstract Art||Constructivism||Movimento Arte Concreta,1908/5/28,1998/2/25,89,20th,Gemini,Italy,Milan,Europe,,,Film||Graphic Design||Painting||Photography,Abstract,,Accademia Carrara,0,0
602,Lili Ilse Elvenes||Einar Magnus Andreas Wegener,Danish,,1882/12/28,1931/9/13,48,19th-20th,,Denmark,Vejle,Europe,,,Painting,Landscape,,Royal Danish Academy of Fine Arts,0,0
603,Pushpamala N.,Indian,Contemporary Art,1905/5/9,,,,Taurus,India,Bangalore,Asia,,,Photography||Sculpture,Film||Illustration,,Bangalore University||Maharaja Sayajirao University of Baroda,0,5
604,Neo Rauch,German,New Leipzig School,1960/4/18,,,,Aries,East Germany,Leipzig,Europe,,,Painting,,,Hochschule für Grafik und Buchkunst Leipzig,0,0
605,Ellsworth Kelly,American,Color Field painting||Hard-edge painting||Minimalism,1923/5/31,2015/12/27,92,20th-21st,Gemini,United States,Newburgh,North America,United States,Spencertown,Painting||Printmaking||Sculpture,,,Pratt Institute||School of the Museum of Fine Arts||Boston||Ecole nationale superieure des Beaux-Arts,0,0
606,Frank Lobdell,American,Bay Area Abstract Expressionism||Bay Area Figurative Movement,1921/8/23,2013/12/14,92,20th-21st,Virgo,United States,Kansas City,North America,United States,Palo Alto,Drawing||Others||Painting,Abstract,,St. Paul School of Fine Arts||California School of Fine Arts||Acad茅mie de la Grande Chaumi猫re,1,5
607,Imi Knoebel,German,Abstract Art||Minimalism,1940/3/1,,,,Pisces,Germany,Dessau,Europe,,Dusseldorf,Painting||Sculpture,,,Darmstadt Werkkunstschule||Kunstakademie Dusseldorf,1,0
608,Karl Otto G?tz,German,Art Informel,1914/2/22,2017/8/19,103,20th-21st,Pisces,Germany,Aachen,Europe,,,Drawing||Film||Literature||Painting||Printmaking,Abstract||Landscape||Surrealist,,School of Applied Arts,0,0
609,Harmony Hammond,American,,1944/2/8,,,,Leo,United States,Chicago,North America,,,Painting||Sculpture,Abstract,,University of Minnesota||New York Feminist Art Institute,0,0
610,Paul Allen Reed,American,Color Field Painting||Washington Color School,1919/3/28,2015/9/26,96,20th-21st,Aries,USA,"Washington, DC",North America,,,Graphic Design||Painting,Abstract,,Corcoran School of Art,0,0
611,Wen-Ying Tsai,Chinese||American,Cybernetic||Kinetic Art,1928/10/13,2013/1/2,84,20th-21st,Libra,China,Xiamen,Asia,United States,New York,Conceptual||Sculpture,,Married,University of Michigan,0,2
612,Pat Lipsky,American,Color Field Painting||Geometric abstraction||Lyrical Abstraction,,,,,,,New York City,,,,Painting,Abstract,,Cornell University||Hunter College,0,0
613,Giulio Paolini,Italian,Arte Povera||Conceptual Art,1940/11/5,,,,Taurus,Italy,Genoa,Europe,,,Painting||Photography,Abstract,,Giambattista Bodoni State Industrial Technical School of Graphics and Photography,0,0
614,Dominique Gonzalez-Foerster,French,Contemporary,1965/6/30,,,,Cancer,France,Strasbourg,Europe,,,Digital Art||Environment||Film||Graphic Design||Installation||Literature||Photography,Abstract||Fantasy||Surrealist,,Ecole du Magasin,0,3
615,Maria Pryimachenko,Ukrainian,Folk Art||Na?ve Art,1908/1/1,1997/1/1,89,20th,,Ukraine,Bolotnya,Europe,Ukraine,,Ceramics||Drawing||Painting||Textile Art,Cultural and Regional Themes||Pop Art,,,0,0
616,Lorna Simpson,American,Conceptual Photography,1960/8/13,,,,Leo,United States,Brooklyn,North America,,,Digital Art||Drawing||Film||Music||Painting||Photography||Sculpture,Abstract||Illustration,,,0,1
617,Gebre Kristos Desta||Gebrekristos Desta,Ethiopian,Abstract Expressionism,,1905/6/3,,,,Ethiopia,Harrar,Africa,,,Literature||Painting,Abstract||Religious,,Haile Sellassie School||General Wingate High School||Art School in Cologne||Addis Ababa University,0,0
618,Giulio Cesare Andrea Evola,Italian,Dadaism||Futurism,1898/5/19,1974/6/11,76,19th-20th,Taurus,Italy,Rome,Europe,Italy,,Painting||Professional||Theory,,,,0,0
619,Agnes Bernice Martin,Canadian||American,Abstract Expressionism||Minimalism,1912/3/22,2004/12/16,92,20th-21st,Aries,Canada,Macklin,North America,United States,Tao,Painting,Abstract,,Western Washington University,1,0
620,Julian Rossi Ashton,English||Australian,Australian Impressionism||Heidelberg School,1851/1/27,1942/4/27,91,19th-20th,Aquarius,England,Addlestone,Europe,,,Education||Painting,,,Sydney Art School||Académie Julian,0,0
621,Ronald Bladen,American,Minimal Art,1918/7/13,1905/6/10,-14,20th,Cancer,Canada,Vancouver,North America,United States,New York,Painting||Sculpture,,Separated,Brata Gallery,0,1
622,Paula Rego,Portuguese,,1935/1/26,,,,Aquarius,Portugal,Lisbon,Europe,,,Painting||Printmaking,,,Slade School of Fine Art,0,0
623,Alexander Bazhbeuk-Melikyan,Georgian,Avant-garde,1891/9/11,1966/7/20,74,19th-20th,Virgo,Georgia,Tbilisi,Asia,Soviet Union,Tbilisi,Graphic Design||Painting||Sculpture,Fantasy||Figurative,Remarried,Georgian Academy of Arts,1,1
624,Roy Fox Lichtenstein,American,Pop Art,1923/10/27,1997/9/29,73,20th,Scorpio,United States,New York,North America,,,Painting,Fantasy||Narrative,,Art Students League of New York||Ohio State University,0,0
625,Marisol Escobar,French-Venezuelan,Pop Art,1930/5/22,2016/4/30,85,20th-21st,Gemini,France,Paris,Europe,United States,New York,Sculpture,Political||Portrait,,Ecole des Beaux-Arts||Art Students League,0,0
626,Ben Shahn,Lithuanian-American,Abstract Expressionism,1898/9/12,1969/3/14,70,19th-20th,Virgo,Lithuania,Kaunas,Europe,United States,New York,Painting,Abstract||Social Realism,Remarried,City College||National Academy of Design,0,0
627,Paul Feeley,American,Color Field,1910/7/27,1966/6/10,55,20th,Leo,United States,,North America,United States,,Painting,Abstract,Married,Bennnington College,1,0
628,William Eggleston,American,,1939/7/27,,,,Leo,United States,Memphis,North America,,,Photography,,,Ole Miss,1,0
629,Luc Tuymans,Belgian,,1958/1/1,,,,,Belgium,Mortsel,Europe,,,Digital Art||Film||Painting,Figurative||History,,Multiple Institutions,1,0
630,Ivan Kenneth Eyre,Canadian,,1935/4/15,,,,Aries,Canada,Tullymet,North America,,,Drawing||Painting||Sculpture,Abstract||Figurative||Landscape,,Saskatoon Technical Collegiate||University of Saskatchewan||University of Manitoba School of Art||University of North Dakota,0,0
631,Dan Flavin,American,Minimalism,1933/4/1,1996/11/29,63,20th,Aries,United States,Jamaica,North America,United States,Riverhead,Installation||Sculpture,,Widowed,Multiple Institutions,0,0
632,Houria Niati,Algerian,Contemporary,1905/5/1,,,,,Algeria,Khemis Miliana,Africa,,,MixedMedia,,,Camden Arts Centre||Croydon College of Art||Middlesex University,0,0
