founded_year,name,full_name,current_team
1946,Philadelphia 76ers,Max Berning Fiedler,Philadelphia 76ers
1946,New York Knicks,Ogugua OG Anunoby Jr.,New York Knicks
1946,Boston Celtics,Jaylen Marselles Brown,Boston Celtics
1967,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs
1946,Boston Celtics,Jrue Randall Holiday,Boston Celtics
1946,Los Angeles Lakers,Austin Tyler Reaves,Los Angeles Lakers
1988,Miami Heat,Kevin Wesley Love,Miami Heat
1968,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,Milwaukee Bucks
1946,Golden State Warriors,Wardell Stephen Curry II,Golden State Warriors
1946,Boston Celtics,Alfred Joel Horford Reynoso,Boston Celtics
1946,Golden State Warriors,Kyle Forman Anderson,Golden State Warriors
1967,Houston Rockets,Erick Strickland,Houston Rockets
1946,Los Angeles Lakers,,Los Angeles Lakers
1988,Miami Heat,,Miami Heat
1946,Boston Celtics,,Boston Celtics
1946,Los Angeles Lakers,,Los Angeles Lakers
